,Domain,Phylum,Class,Order,Family,Genus
ASV_66,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_203,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_415,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_450,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_506,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_521,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_549,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_570,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_641,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_666,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_741,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_793,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_795,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_840,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_861,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_862,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_880,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_911,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_1039,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_1107,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_1426,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_1468,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_1504,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_1519,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_1539,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_1562,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_1719,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_1811,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_1812,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_1872,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_1904,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_1961,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_2133,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_2534,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_2590,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_2636,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_2942,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_3101,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_3354,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_3714,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_3915,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_4157,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_4210,Bacteria,Abditibacteriota,Abditibacteria,Abditibacteriales,Abditibacteriaceae,Abditibacterium
ASV_2786,Bacteria,Acidobacteriota,Blastocatellia,Nov-24,Unclassified,Unclassified
ASV_1103,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriae_or,Acidobacteriae_fa,Paludibaculum
ASV_2279,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriae_or,Acidobacteriae_fa,Paludibaculum
ASV_2401,Bacteria,Acidobacteriota,Acidobacteriae,Acidobacteriae_or,Acidobacteriae_fa,Paludibaculum
ASV_3049,Bacteria,Acidobacteriota,Aminicenantia,Aminicenantales,Unclassified,Unclassified
ASV_4708,Bacteria,Acidobacteriota,Aminicenantia,Aminicenantales,Unclassified,Unclassified
ASV_9,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_10,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_16,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_18,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_37,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_56,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_71,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_91,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_108,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_114,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_175,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_183,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_241,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_280,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_304,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_361,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Unclassified
ASV_364,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_418,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_447,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_459,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_472,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter
ASV_486,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Unclassified
ASV_547,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_585,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_669,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Unclassified
ASV_747,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,JGI_0001001-H03
ASV_787,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_927,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter
ASV_931,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_934,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_941,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_951,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_1059,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter
ASV_1081,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_1124,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_1159,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter
ASV_1162,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,JGI_0001001-H03
ASV_1264,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_1372,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_1429,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Unclassified
ASV_1438,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Unclassified
ASV_1507,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_1516,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_1517,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter
ASV_1688,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_1745,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_1747,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_1917,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_2103,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Unclassified
ASV_2365,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Unclassified
ASV_2377,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Unclassified
ASV_2574,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Unclassified
ASV_2607,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_2679,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_2692,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_2700,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_2801,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_3054,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_3156,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,JGI_0001001-H03
ASV_3222,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,JGI_0001001-H03
ASV_3323,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Unclassified
ASV_3333,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_3405,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_3590,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_4061,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Blastocatella
ASV_979,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter
ASV_1158,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter
ASV_1194,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter
ASV_1232,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter
ASV_1905,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter
ASV_2610,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter
ASV_3142,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter
ASV_3411,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter
ASV_4002,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter
ASV_4399,Bacteria,Acidobacteriota,Acidobacteriae,Bryobacterales,Bryobacteraceae,Bryobacter
ASV_166,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV_276,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV_457,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV_540,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV_591,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV_689,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV_726,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV_756,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV_768,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV_971,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV_1003,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV_1062,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV_1150,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV_1270,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV_1443,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV_1536,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV_1671,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV_2299,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV_2301,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV_2329,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV_2738,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,Unclassified
ASV_2893,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV_3258,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,Unclassified
ASV_3409,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,RB41
ASV_3834,Bacteria,Acidobacteriota,Blastocatellia,Pyrinomonadales,Pyrinomonadaceae,Pyrinomonas
ASV_3235,Bacteria,Acidobacteriota,Acidobacteriae,Solibacterales,Solibacteraceae,Candidatus_Solibacter
ASV_1687,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,Unclassified,Unclassified
ASV_1763,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,Unclassified,Unclassified
ASV_2396,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,Unclassified,Unclassified
ASV_2845,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,Unclassified,Unclassified
ASV_2922,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,Unclassified,Unclassified
ASV_3772,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,Unclassified,Unclassified
ASV_4265,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_17,Unclassified,Unclassified
ASV_299,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,Unclassified,Unclassified
ASV_490,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,Unclassified,Unclassified
ASV_660,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,Unclassified,Unclassified
ASV_670,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,Unclassified,Unclassified
ASV_1333,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,Unclassified,Unclassified
ASV_1714,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,Unclassified,Unclassified
ASV_2077,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,Unclassified,Unclassified
ASV_3611,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,Unclassified,Unclassified
ASV_3642,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,Unclassified,Unclassified
ASV_4555,Bacteria,Acidobacteriota,Holophagae,Subgroup_7,Unclassified,Unclassified
ASV_2273,Bacteria,Acidobacteriota,Vicinamibacteria,Subgroup_9,Unclassified,Unclassified
ASV_808,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10
ASV_1092,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10
ASV_1093,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_23
ASV_1273,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_23
ASV_1488,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10
ASV_1635,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_23
ASV_1848,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10
ASV_2081,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_23
ASV_2197,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_23
ASV_2511,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10
ASV_2663,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_23
ASV_3379,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_23
ASV_3838,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10
ASV_4378,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_23
ASV_893,Bacteria,Acidobacteriota,Blastocatellia,Unclassified,Unclassified,Unclassified
ASV_1565,Bacteria,Acidobacteriota,Subgroup_26,Unclassified,Unclassified,Unclassified
ASV_2104,Bacteria,Acidobacteriota,Subgroup_22,Unclassified,Unclassified,Unclassified
ASV_2440,Bacteria,Acidobacteriota,Subgroup_22,Unclassified,Unclassified,Unclassified
ASV_2538,Bacteria,Acidobacteriota,Subgroup_22,Unclassified,Unclassified,Unclassified
ASV_2551,Bacteria,Acidobacteriota,Subgroup_26,Unclassified,Unclassified,Unclassified
ASV_2741,Bacteria,Acidobacteriota,Subgroup_22,Unclassified,Unclassified,Unclassified
ASV_2761,Bacteria,Acidobacteriota,Subgroup_22,Unclassified,Unclassified,Unclassified
ASV_2928,Bacteria,Acidobacteriota,Subgroup_22,Unclassified,Unclassified,Unclassified
ASV_2990,Bacteria,Acidobacteriota,Subgroup_22,Unclassified,Unclassified,Unclassified
ASV_3287,Bacteria,Acidobacteriota,Subgroup_26,Unclassified,Unclassified,Unclassified
ASV_3377,Bacteria,Acidobacteriota,Subgroup_26,Unclassified,Unclassified,Unclassified
ASV_3532,Bacteria,Acidobacteriota,Subgroup_22,Unclassified,Unclassified,Unclassified
ASV_3636,Bacteria,Acidobacteriota,Acidobacteriae,Unclassified,Unclassified,Unclassified
ASV_3850,Bacteria,Acidobacteriota,Subgroup_22,Unclassified,Unclassified,Unclassified
ASV_3920,Bacteria,Acidobacteriota,Subgroup_22,Unclassified,Unclassified,Unclassified
ASV_3924,Bacteria,Acidobacteriota,AT-s3-28,Unclassified,Unclassified,Unclassified
ASV_3927,Bacteria,Acidobacteriota,Subgroup_22,Unclassified,Unclassified,Unclassified
ASV_4163,Bacteria,Acidobacteriota,Acidobacteriae,Unclassified,Unclassified,Unclassified
ASV_4455,Bacteria,Acidobacteriota,Subgroup_22,Unclassified,Unclassified,Unclassified
ASV_4586,Bacteria,Acidobacteriota,AT-s3-28,Unclassified,Unclassified,Unclassified
ASV_268,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Unclassified
ASV_622,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Luteitalea
ASV_809,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Unclassified
ASV_901,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Unclassified,Unclassified
ASV_915,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Unclassified
ASV_1094,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Unclassified
ASV_1108,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Unclassified
ASV_1235,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Luteitalea
ASV_1402,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Unclassified
ASV_1926,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Unclassified
ASV_2288,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Unclassified
ASV_2327,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Unclassified
ASV_3240,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Unclassified
ASV_3246,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Unclassified,Unclassified
ASV_3632,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Vicinamibacteraceae,Unclassified
ASV_4601,Bacteria,Acidobacteriota,Vicinamibacteria,Vicinamibacterales,Unclassified,Unclassified
ASV_33,Bacteria,Actinobacteriota,Actinobacteria,0319-7L14,Unclassified,Unclassified
ASV_151,Bacteria,Actinobacteriota,Actinobacteria,0319-7L14,Unclassified,Unclassified
ASV_297,Bacteria,Actinobacteriota,Actinobacteria,0319-7L14,Unclassified,Unclassified
ASV_448,Bacteria,Actinobacteriota,Actinobacteria,0319-7L14,Unclassified,Unclassified
ASV_458,Bacteria,Actinobacteriota,Actinobacteria,0319-7L14,Unclassified,Unclassified
ASV_566,Bacteria,Actinobacteriota,Actinobacteria,0319-7L14,Unclassified,Unclassified
ASV_752,Bacteria,Actinobacteriota,Actinobacteria,0319-7L14,Unclassified,Unclassified
ASV_817,Bacteria,Actinobacteriota,Actinobacteria,0319-7L14,Unclassified,Unclassified
ASV_903,Bacteria,Actinobacteriota,Actinobacteria,0319-7L14,Unclassified,Unclassified
ASV_1166,Bacteria,Actinobacteriota,Actinobacteria,0319-7L14,Unclassified,Unclassified
ASV_1267,Bacteria,Actinobacteriota,Actinobacteria,0319-7L14,Unclassified,Unclassified
ASV_1484,Bacteria,Actinobacteriota,Actinobacteria,0319-7L14,Unclassified,Unclassified
ASV_1588,Bacteria,Actinobacteriota,Actinobacteria,0319-7L14,Unclassified,Unclassified
ASV_1975,Bacteria,Actinobacteriota,Actinobacteria,0319-7L14,Unclassified,Unclassified
ASV_4470,Bacteria,Actinobacteriota,Actinobacteria,0319-7L14,Unclassified,Unclassified
ASV_3105,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Unclassified,Unclassified
ASV_222,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Unclassified,Unclassified
ASV_281,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Unclassified,Unclassified
ASV_323,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Unclassified,Unclassified
ASV_386,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Unclassified,Unclassified
ASV_588,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Unclassified,Unclassified
ASV_605,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Unclassified,Unclassified
ASV_739,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Unclassified,Unclassified
ASV_1325,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Unclassified,Unclassified
ASV_1713,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Unclassified,Unclassified
ASV_1834,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Unclassified,Unclassified
ASV_1884,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Unclassified,Unclassified
ASV_1989,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Unclassified,Unclassified
ASV_2049,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Unclassified,Unclassified
ASV_2080,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Unclassified,Unclassified
ASV_2131,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Unclassified,Unclassified
ASV_2198,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Unclassified,Unclassified
ASV_2589,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Unclassified,Unclassified
ASV_2923,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Unclassified,Unclassified
ASV_3265,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,Unclassified,Unclassified
