,sample_name,sample,ID
CE1,CE1,CE,CE1
CE2,CE2,CE,CE2
CE3,CE3,CE,CE3
CE4,CE4,CE,CE4
NH1,NH1,NH,NH1
NH2,NH2,NH,NH2
NH3,NH3,NH,NH3
NH4,NH4,NH,NH4
NH5,NH5,NH,NH5
JWM1,JWM1,SM,SM1
JWM2,JWM2,SM,SM2
JWM3,JWM3,SM,SM3
JWM4,JWM4,SM,SM4
TV0170,TV0170,TV,TV1
TV0422,TV0422,TV,TV2
TV0426,TV0426,TV,TV3
TV0437,TV0437,TV,TV4
