,CE1,CE2,CE3,CE4,CE161,CE162,CE163,CE164,CE165,JWM1,JWM2,JWM3,JWM4,NH1,NH2,NH3,NH4,NH5,TV0170,TV0422,TV0426,TV0437
ASV_1209,0,0,0,0,0,0,0,0,0,0,6,7,6,0,0,0,0,0,13,0,5,2
ASV_1210,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,63,3
ASV_1211,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,1,1
ASV_1212,9,12,17,7,1,11,1,0,1,0,0,0,0,6,4,2,4,3,0,0,0,0
ASV_1213,1,0,1,5,3,0,3,0,0,0,0,0,0,11,15,16,8,14,0,1,0,0
ASV_1214,5,16,16,2,6,8,12,1,0,0,0,1,0,0,2,3,3,1,0,0,0,0
ASV_1215,3,3,0,20,6,10,2,0,0,0,0,0,0,0,5,11,7,11,0,0,0,0
ASV_1216,2,4,1,5,10,11,7,0,0,0,0,0,0,5,10,13,7,2,0,0,0,0
ASV_1217,6,0,5,9,1,4,0,0,0,0,0,0,0,5,12,10,12,14,0,0,0,0
ASV_1218,1,1,0,9,1,4,0,0,0,0,0,0,0,12,13,12,7,18,0,0,0,0
ASV_1219,0,2,11,3,7,6,9,7,6,0,0,0,0,5,6,5,6,5,0,0,0,0
ASV_1220,0,4,5,7,4,7,8,2,0,0,0,0,0,5,11,10,6,9,0,0,0,0
ASV_1221,0,0,4,3,4,2,3,0,0,0,0,0,0,9,23,13,12,5,0,0,0,0
ASV_1222,0,0,0,0,0,1,1,0,0,0,4,2,8,1,3,7,8,9,0,0,0,1
ASV_1223,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,54,0,9,1
ASV_1224,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,17,16,26,0,0,0,0
ASV_1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,9,18,10
ASV_1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
ASV_1227,5,12,17,2,9,6,4,18,4,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1228,1,18,4,1,14,3,10,18,7,0,0,0,0,0,1,0,0,0,0,0,0,0
ASV_1229,5,2,1,6,1,5,1,1,1,0,0,0,0,5,5,12,13,19,0,0,0,0
ASV_1230,0,5,0,1,0,0,1,24,46,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1231,0,2,0,0,0,0,0,0,1,0,0,0,0,2,7,2,50,13,0,0,0,0
ASV_1232,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,10,0,6,9
ASV_1233,0,0,0,0,0,0,0,0,0,9,9,52,7,0,0,0,0,0,0,0,0,0
ASV_1234,0,0,0,0,0,0,0,0,0,2,3,6,0,0,0,0,0,0,4,1,14,25
ASV_1235,0,0,0,0,0,0,0,0,0,5,10,4,6,0,0,0,0,0,0,0,18,0
ASV_1236,0,0,0,0,0,0,0,0,0,0,7,15,2,0,0,0,0,0,0,0,1,0
ASV_1237,5,6,14,6,5,1,5,0,3,0,0,1,0,4,10,2,8,4,0,0,1,1
ASV_1238,10,8,10,11,7,9,9,2,5,0,0,0,0,0,0,1,1,3,0,0,0,0
ASV_1239,4,10,9,0,13,7,6,20,3,0,0,0,0,1,0,0,1,2,0,0,0,0
ASV_1240,11,6,9,38,2,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1241,0,0,0,0,0,0,0,0,0,12,13,30,21,0,0,0,0,0,0,0,0,0
ASV_1242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,2,6,30
ASV_1243,6,3,5,22,4,7,1,0,0,0,0,0,0,2,5,3,10,7,0,0,0,0
ASV_1244,3,2,2,4,3,2,1,0,0,0,0,0,0,9,16,8,12,13,0,0,0,0
ASV_1245,0,3,5,5,9,8,18,2,11,0,0,0,0,1,5,3,4,1,0,0,0,0
ASV_1246,0,1,1,2,0,2,1,0,1,2,2,1,1,0,0,0,1,0,0,0,0,50
ASV_1247,0,4,0,0,2,1,0,18,49,0,0,0,1,0,0,0,0,0,0,0,0,0
ASV_1248,0,0,1,1,0,0,2,0,1,9,18,15,8,2,3,0,1,6,0,0,0,1
ASV_1249,0,0,0,0,0,0,0,0,0,13,22,23,12,0,0,0,0,1,0,0,0,0
ASV_1250,0,0,0,0,0,0,0,0,0,5,2,4,3,1,0,0,2,0,0,0,2,0
ASV_1251,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASV_1252,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,0,0,69
ASV_1253,6,13,11,5,9,8,4,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1254,1,4,0,7,7,2,6,1,0,0,0,0,0,2,4,13,11,16,0,0,0,0
ASV_1255,1,3,0,6,3,5,3,2,2,2,0,0,0,8,10,6,11,12,0,0,0,0
ASV_1256,2,0,1,6,3,1,5,0,0,0,0,0,0,12,5,17,11,11,0,0,0,0
ASV_1257,0,1,1,0,0,1,0,1,0,0,0,0,0,34,22,4,2,8,0,0,0,0
ASV_1258,0,0,0,0,3,1,1,1,0,2,15,13,31,1,0,1,0,0,0,0,0,0
ASV_1259,0,0,0,1,0,0,0,0,0,0,0,0,0,34,28,2,2,7,0,0,0,0
ASV_1260,0,0,0,0,0,0,0,0,0,21,18,17,16,0,0,0,0,0,0,0,0,0
ASV_1261,0,0,0,0,0,0,0,0,0,6,10,35,13,0,0,0,0,0,1,0,0,0
ASV_1262,0,0,0,0,0,0,0,0,0,18,13,12,13,0,0,0,0,0,0,0,0,0
ASV_1263,0,0,0,0,0,0,0,0,0,2,19,4,10,0,0,0,0,0,0,0,11,0
ASV_1264,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,0
ASV_1265,0,0,0,0,0,0,0,0,0,0,10,0,2,0,0,0,0,0,23,2,0,13
ASV_1266,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,52,8
ASV_1267,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,73,0
ASV_1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,8
ASV_1269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0
ASV_1270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74
ASV_1271,5,0,10,1,2,1,0,0,1,0,0,0,0,4,10,5,16,18,0,0,0,0
ASV_1272,1,1,1,1,0,3,0,0,0,0,2,0,0,6,21,4,15,18,0,0,0,0
ASV_1273,4,18,1,4,9,14,4,4,8,0,0,0,0,1,2,2,0,1,0,0,0,0
ASV_1274,4,0,0,7,2,1,3,0,0,0,0,0,0,9,17,16,8,6,0,0,0,0
ASV_1275,0,2,3,0,1,3,2,1,0,0,0,0,0,3,16,14,16,12,0,0,0,0
ASV_1276,0,0,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,0,0,54,3
ASV_1277,0,0,0,0,0,0,0,0,0,10,15,13,11,0,0,0,0,0,0,0,0,0
ASV_1278,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,71
ASV_1279,0,0,0,0,0,0,0,0,0,0,21,31,10,0,0,0,0,0,0,0,0,0
ASV_1280,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,28
ASV_1281,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,19,0,4,9
ASV_1282,0,0,0,0,0,0,0,0,0,0,1,0,5,3,1,0,0,1,14,0,0,0
ASV_1283,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,48
ASV_1284,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,6,2,3,20
ASV_1285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
ASV_1286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
ASV_1287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,4
ASV_1288,2,9,12,6,9,9,9,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1289,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,12,55,0,0,0,0,0
ASV_1290,0,0,0,0,0,0,0,0,0,24,21,13,7,0,0,0,0,0,0,0,1,2
ASV_1291,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,1,0,0
ASV_1292,0,0,0,0,0,0,0,0,0,3,1,2,1,0,1,0,0,0,0,0,3,0
ASV_1293,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
ASV_1294,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,1,0,0,11,44
ASV_1295,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,67,2
ASV_1296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,3,0,0
ASV_1297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,1
ASV_1298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0
ASV_1299,15,2,10,21,3,4,3,0,0,0,0,0,0,3,5,0,2,3,0,0,0,0
ASV_1300,1,1,2,0,0,4,1,0,0,0,0,0,0,9,11,24,11,7,0,0,0,0
ASV_1301,5,10,9,3,3,5,5,7,1,0,0,0,0,2,4,4,4,9,0,0,0,0
ASV_1302,3,4,1,14,7,8,5,5,2,0,0,0,0,4,1,5,3,9,0,0,0,0
ASV_1303,5,0,3,23,1,13,7,0,0,0,0,0,0,1,8,2,3,5,0,0,0,0
ASV_1304,0,3,0,0,0,0,1,1,0,0,0,0,0,6,10,14,17,19,0,0,0,0
ASV_1305,0,0,0,0,0,2,0,0,0,0,4,17,3,0,0,0,0,0,0,0,1,0
ASV_1306,0,0,0,0,0,0,0,0,0,6,7,8,9,0,0,0,0,0,1,0,0,1
ASV_1307,0,0,0,0,0,0,0,0,0,9,9,33,16,0,0,0,0,0,0,1,0,1
ASV_1308,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,33
ASV_1309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,27
ASV_1310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,5,0,25
ASV_1311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,50
ASV_1312,1,0,6,3,10,6,2,0,0,0,0,0,0,4,6,8,8,16,0,0,0,0
ASV_1313,1,8,11,25,5,2,5,5,2,0,0,0,0,0,1,1,1,3,0,0,0,0
ASV_1314,3,7,2,5,2,1,0,16,24,0,0,0,0,0,3,0,3,4,0,0,0,0
ASV_1315,1,2,0,22,1,2,3,1,0,0,0,0,0,4,3,5,11,15,0,0,0,0
ASV_1316,1,4,1,5,3,2,1,0,1,0,0,0,0,5,8,8,16,15,0,0,0,0
ASV_1317,6,5,6,7,7,10,6,3,0,0,1,0,0,3,5,3,4,4,0,0,0,0
ASV_1318,0,1,0,0,0,0,0,0,0,0,58,7,4,0,0,0,0,0,0,0,0,0
ASV_1319,0,0,0,0,0,0,0,0,0,5,21,19,13,0,0,0,0,0,0,0,0,1
ASV_1320,0,0,0,0,0,0,0,0,0,5,5,7,1,0,0,0,0,0,0,0,14,23
ASV_1321,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,60
ASV_1322,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
ASV_1323,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,49
ASV_1324,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,7,8,7
ASV_1325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,17,0,0
ASV_1327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,1,0,0
ASV_1328,3,4,8,3,1,8,16,9,6,0,0,0,0,2,3,0,6,0,0,0,0,0
ASV_1329,2,1,4,1,1,2,1,1,2,10,18,10,11,0,0,0,0,0,0,0,0,0
ASV_1330,0,61,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1331,0,12,0,0,2,0,0,18,37,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1332,0,0,0,0,0,0,0,0,0,17,13,9,4,0,0,0,0,0,0,0,1,21
ASV_1333,0,0,0,0,0,0,0,0,0,1,1,1,4,0,0,0,0,0,0,0,57,0
ASV_1334,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ASV_1335,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,53,1,1,0
ASV_1336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1
ASV_1337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,38
ASV_1338,0,1,1,6,2,0,7,1,1,2,3,1,3,0,8,8,4,9,0,0,8,1
ASV_1339,0,24,4,1,4,1,4,4,23,0,0,0,0,0,0,3,0,0,0,0,0,0
ASV_1340,0,0,0,0,5,14,21,12,16,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1341,0,0,1,0,3,0,1,0,0,3,3,3,1,1,0,1,0,0,26,2,0,15
ASV_1342,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,7,15,2,3
ASV_1343,0,0,1,0,0,0,0,0,0,2,1,3,1,0,0,0,0,0,0,0,16,21
ASV_1344,0,0,0,0,0,0,0,0,0,13,21,16,18,0,0,0,0,0,0,0,0,0
ASV_1345,0,0,0,0,0,0,0,0,0,36,2,21,9,0,0,0,0,0,0,0,0,0
ASV_1346,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,57,3
ASV_1347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,59
ASV_1348,6,6,6,11,5,11,6,1,2,0,0,0,0,3,2,2,2,4,0,0,0,0
ASV_1349,10,0,4,27,0,4,0,0,0,0,0,1,0,2,1,2,16,0,0,0,0,0
ASV_1350,0,1,4,6,2,2,1,0,0,0,0,0,0,9,13,4,15,10,0,0,0,0
ASV_1351,0,3,0,0,0,0,1,29,32,0,0,0,0,0,0,2,0,0,0,0,0,0
ASV_1352,0,0,0,0,0,0,0,1,0,10,2,3,3,0,0,0,0,0,0,0,8,0
ASV_1353,0,0,0,0,0,0,0,0,0,19,24,9,12,0,0,0,0,0,0,0,0,0
ASV_1354,0,0,0,0,0,0,0,0,0,41,12,4,7,1,0,0,2,0,0,0,0,0
ASV_1355,0,0,0,0,0,0,0,0,0,4,6,9,3,0,0,0,0,0,7,0,2,21
ASV_1356,0,0,0,0,0,0,0,0,0,14,0,32,20,0,0,0,0,0,1,0,0,0
ASV_1357,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,2,16,38
ASV_1358,0,0,0,0,0,0,0,0,0,0,0,51,13,0,0,0,0,0,0,0,0,0
ASV_1359,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,19,4,4,8
ASV_1360,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,15,18,22,0,0,0,0
ASV_1361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,22,8
ASV_1362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,22
ASV_1363,7,10,5,4,2,6,1,0,0,0,0,0,0,1,6,3,17,4,0,0,0,0
ASV_1364,8,1,2,21,12,10,1,0,0,0,0,0,0,2,0,3,4,1,0,0,0,1
ASV_1365,4,3,0,5,3,4,3,0,0,0,0,0,0,6,9,7,9,13,0,0,0,0
ASV_1366,7,2,5,7,3,7,12,1,1,0,0,0,0,4,2,7,5,3,0,0,0,0
ASV_1367,0,2,7,1,0,1,0,0,0,0,0,0,0,8,9,9,18,11,0,0,0,0
ASV_1368,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,0,0,6,0
ASV_1369,0,0,0,0,0,0,0,0,0,13,12,23,9,0,0,0,0,0,0,0,0,0
ASV_1370,0,0,0,0,0,0,0,0,0,1,22,8,29,0,0,3,0,1,0,0,0,0
ASV_1371,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0
ASV_1372,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,10,0,2,28
ASV_1373,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,10,3
ASV_1374,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20,2,4,17,0,0,0,0
ASV_1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
ASV_1376,6,3,5,5,2,2,1,0,0,0,0,0,0,8,12,5,6,10,0,0,0,0
ASV_1377,1,2,2,1,0,1,1,1,0,0,0,0,1,5,10,7,10,20,0,0,0,3
ASV_1378,1,1,3,15,3,5,14,2,5,0,0,0,0,1,0,4,3,3,0,0,0,0
ASV_1379,0,1,0,1,3,0,0,1,5,0,0,0,0,3,2,1,3,6,0,0,0,1
ASV_1380,0,0,0,0,2,0,0,0,0,2,12,10,2,0,0,0,0,0,0,0,0,0
ASV_1381,0,0,0,0,0,1,1,0,0,0,0,0,2,14,9,17,11,10,0,0,0,0
ASV_1382,0,0,0,0,0,0,0,0,0,6,19,14,7,0,0,0,0,0,0,0,0,0
ASV_1383,0,0,0,0,0,0,0,0,0,10,13,13,9,0,0,0,0,0,0,0,0,0
ASV_1384,0,0,0,0,0,0,0,0,0,3,10,8,15,0,0,0,0,0,0,0,19,0
ASV_1385,0,0,0,0,0,0,0,0,0,0,61,4,0,0,0,0,0,0,0,0,0,0
ASV_1386,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,20
ASV_1387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,41,13,0,2
ASV_1388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,61
ASV_1389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
ASV_1390,1,1,4,5,3,4,5,0,0,0,0,0,0,7,7,8,6,13,0,0,0,0
ASV_1391,2,9,8,7,5,3,3,8,7,0,0,0,0,2,0,1,1,8,0,0,0,0
ASV_1392,3,0,4,1,3,2,2,3,4,0,0,0,0,7,13,3,10,9,0,0,0,0
ASV_1393,7,15,18,6,0,0,8,0,2,0,0,0,0,4,0,0,2,2,0,0,0,0
ASV_1394,0,1,0,0,0,0,0,17,46,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1395,0,0,2,0,0,0,0,4,1,0,0,0,0,11,13,19,1,13,0,0,0,0
ASV_1396,0,0,0,0,0,0,0,0,12,0,0,0,0,14,9,6,19,3,0,0,0,1
ASV_1397,0,0,1,0,0,0,0,0,0,0,0,0,0,6,14,18,11,14,0,0,0,0
ASV_1398,0,0,0,0,0,0,0,0,0,4,29,11,5,0,0,0,0,0,0,3,2,6
ASV_1399,0,0,0,0,0,0,0,0,0,6,16,23,11,0,0,0,0,0,0,0,0,1
ASV_1400,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20,0
ASV_1401,0,0,0,0,0,0,0,0,0,2,1,2,4,0,0,0,0,0,0,0,0,1
ASV_1402,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,63
ASV_1403,0,0,0,0,0,0,0,0,0,0,11,6,14,0,0,0,0,0,9,0,1,0
ASV_1404,0,0,0,0,0,0,0,0,0,0,0,0,0,30,18,3,1,12,0,0,0,0
ASV_1405,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,7,9,16,0,0,0,0
ASV_1406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4
ASV_1407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,8,0
ASV_1408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,22
ASV_1409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,1
ASV_1410,2,2,4,0,3,3,14,5,7,0,0,0,0,4,4,2,7,6,0,0,0,0
ASV_1411,1,0,0,4,0,0,0,0,0,0,0,0,0,2,11,12,8,13,0,0,0,4
ASV_1412,7,3,15,2,6,6,3,4,7,0,0,0,0,0,7,0,1,2,0,0,0,0
ASV_1413,2,0,1,0,2,2,2,1,0,0,0,0,0,6,6,15,18,8,0,0,0,0
ASV_1414,2,7,16,11,1,15,2,1,1,0,0,0,0,2,1,0,1,3,0,0,0,0
ASV_1415,0,28,3,1,1,2,4,5,16,0,0,0,0,0,0,0,2,1,0,0,0,0
ASV_1416,0,0,0,2,0,1,1,0,0,0,0,0,0,8,16,13,5,17,0,0,0,0
ASV_1417,0,0,4,0,0,3,1,0,0,0,0,0,0,10,10,17,8,10,0,0,0,0
ASV_1418,0,0,0,2,0,0,0,0,1,0,0,0,0,1,5,19,21,14,0,0,0,0
ASV_1419,0,0,0,0,0,0,0,0,0,4,5,4,6,0,0,0,0,0,0,0,0,0
ASV_1420,0,0,0,0,0,0,0,0,0,10,8,15,29,0,0,0,0,0,0,0,0,0
ASV_1421,0,0,0,0,0,0,0,0,0,7,11,37,7,0,0,0,0,0,0,0,1,0
ASV_1422,0,0,0,0,0,0,0,0,0,19,17,13,14,0,0,0,0,0,0,0,0,0
ASV_1423,0,0,0,0,0,0,0,0,0,4,11,3,6,0,0,0,0,0,0,0,26,13
ASV_1424,0,0,0,0,0,0,0,0,0,13,13,19,15,0,0,0,0,0,0,0,2,0
ASV_1425,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,55,0
ASV_1426,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,0,1,4
ASV_1427,0,0,0,0,0,0,0,0,0,0,0,0,0,14,8,9,18,14,0,0,0,0
ASV_1428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0
ASV_1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
ASV_1430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
ASV_1431,5,9,6,8,7,3,4,2,0,0,0,0,0,3,6,1,6,2,0,0,0,0
ASV_1432,3,1,0,0,7,10,12,17,9,0,0,0,0,0,0,0,1,0,0,0,0,0
ASV_1433,2,2,1,6,2,3,3,2,0,0,0,0,0,5,8,9,13,5,0,0,0,0
ASV_1434,0,1,0,2,2,5,2,0,0,0,0,0,0,6,15,11,14,4,0,0,0,0
ASV_1435,0,0,0,4,1,0,0,0,0,0,0,0,0,11,15,5,21,5,0,0,0,0
ASV_1436,0,0,0,0,0,0,0,0,0,10,21,17,14,0,0,0,0,0,0,0,0,0
ASV_1437,0,0,0,0,0,0,0,0,0,10,15,22,14,0,0,0,0,0,0,0,0,0
ASV_1438,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,26,5
ASV_1439,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0
ASV_1440,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,4,45
ASV_1441,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,3,1,0,0,0,0
ASV_1442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62
ASV_1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48
ASV_1444,1,3,2,0,0,2,0,0,0,0,0,0,0,2,16,3,13,19,0,0,0,0
ASV_1445,1,2,3,8,3,1,3,2,0,0,0,0,0,7,5,8,5,13,0,0,0,0
ASV_1446,3,2,4,13,0,1,0,0,0,0,0,0,0,2,8,15,7,6,0,0,0,0
ASV_1447,1,4,5,4,8,5,5,7,6,0,0,0,0,4,3,1,7,1,0,0,0,0
ASV_1448,1,3,11,0,4,7,4,1,2,0,0,0,0,3,8,4,9,4,0,0,0,0
ASV_1449,3,3,2,7,1,0,1,0,2,0,0,0,0,3,10,5,13,11,0,0,0,0
ASV_1450,0,0,0,0,1,0,0,0,0,0,5,40,6,0,0,0,0,0,0,0,0,7
ASV_1451,0,0,0,1,0,1,1,0,0,0,0,0,0,8,12,9,17,12,0,0,0,0
ASV_1452,0,0,0,0,0,0,0,0,0,17,18,11,14,0,0,0,0,0,0,0,0,0
ASV_1453,0,0,0,0,0,0,0,0,0,3,0,2,3,0,0,0,0,0,0,0,7,0
ASV_1454,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0,0,1,52
ASV_1455,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,0,35,0,1,3
ASV_1456,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
ASV_1457,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,10,7,7,16
ASV_1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,7,34
ASV_1459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,40
ASV_1460,5,5,3,1,8,7,11,4,7,0,0,0,0,4,2,2,1,0,0,0,0,0
ASV_1461,1,1,5,0,0,0,0,0,0,0,0,0,0,8,8,7,15,15,0,0,0,0
ASV_1462,0,0,0,0,0,0,0,0,0,6,29,16,7,0,0,0,0,0,0,1,0,1
ASV_1463,0,0,0,0,0,0,0,0,0,0,55,3,2,0,0,0,0,0,0,0,0,0
ASV_1464,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,37,15
ASV_1465,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
ASV_1466,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,23,3,0,0
ASV_1467,0,0,0,0,0,0,0,0,0,0,0,0,0,21,19,5,6,9,0,0,0,0
ASV_1468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ASV_1469,2,6,14,2,0,3,3,5,0,0,0,0,0,3,8,4,4,5,0,0,0,0
ASV_1470,2,3,1,3,3,5,1,0,0,0,0,0,0,4,10,12,6,8,0,0,0,1
ASV_1471,1,8,21,1,8,3,8,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1472,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0
ASV_1473,1,1,2,3,1,0,0,0,0,0,0,0,1,3,19,10,6,12,0,0,0,0
ASV_1474,0,4,4,5,7,3,2,1,1,0,0,0,0,4,4,3,12,9,0,0,0,0
ASV_1475,0,0,0,0,9,3,22,10,14,1,0,0,0,0,0,0,0,0,0,0,0,0
ASV_1476,0,0,2,1,0,1,1,1,1,0,0,0,0,8,7,7,13,17,0,0,0,0
ASV_1477,0,0,0,0,0,0,0,0,0,19,4,33,3,0,0,0,0,0,0,0,0,0
ASV_1478,0,0,0,0,0,0,0,0,0,14,11,15,7,0,0,0,0,0,0,0,0,12
ASV_1479,0,0,0,0,0,0,0,0,0,10,13,22,14,0,0,0,0,0,0,0,0,0
ASV_1480,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,0,4
