,CE1,CE2,CE3,CE4,CE161,CE162,CE163,CE164,CE165,JWM1,JWM2,JWM3,JWM4,NH1,NH2,NH3,NH4,NH5,TV0170,TV0422,TV0426,TV0437
ASV_62,176,197,409,132,96,285,94,161,60,0,0,0,0,9,27,4,18,27,0,0,0,0
ASV_63,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,1,0,1439,222
ASV_64,0,0,0,0,0,0,0,0,0,0,7,14,4,0,0,0,0,0,248,22,142,405
ASV_65,37,96,58,153,44,59,13,45,53,0,0,0,0,252,255,162,164,281,0,0,0,0
ASV_66,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,109,3,612,83
ASV_67,63,129,298,92,200,226,252,139,122,0,1,0,0,5,18,12,34,21,0,0,0,0
ASV_68,0,0,0,0,0,0,0,0,0,0,1,4,2,0,0,0,0,0,26,13,486,153
ASV_69,0,0,0,0,0,0,0,0,0,10,25,18,17,0,0,0,0,0,7,6,1107,11
ASV_70,0,0,0,0,0,0,0,0,0,7,17,20,16,0,0,0,0,0,934,369,1,4
ASV_71,0,0,0,0,0,0,0,0,0,13,7,10,7,0,0,0,0,0,15,5,221,1152
ASV_72,0,0,0,0,0,0,0,0,0,8,15,5,7,5,0,0,0,0,2,1,1002,209
ASV_73,50,90,209,91,75,151,60,45,21,0,0,0,0,76,141,135,196,182,0,0,0,0
ASV_74,60,133,301,81,106,142,129,159,132,1,0,0,0,33,49,46,60,66,0,0,0,0
ASV_75,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,11,2,1317
ASV_76,0,0,0,0,0,0,0,1,0,146,124,88,28,0,1,0,0,0,3,0,0,2
ASV_77,68,132,221,60,99,200,86,140,124,0,0,0,0,19,68,27,53,92,0,0,0,0
ASV_78,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,124,90,198,309
ASV_79,81,106,218,133,164,206,187,82,28,0,0,0,0,18,35,8,23,68,0,0,0,0
ASV_80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,965,290,0,9
ASV_81,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,0,1
ASV_82,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,44,30,172,16
ASV_83,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,200,43,9,14
ASV_84,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,1,0,1,8,26,16,992
ASV_85,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,29,2,493,32
ASV_86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1069,192,0,0
ASV_87,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,1,140,637
ASV_88,8,7,28,14,9,10,18,7,11,0,1,0,0,96,295,141,284,323,0,0,0,0
ASV_89,64,121,236,100,141,139,144,184,119,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV_90,0,0,0,0,0,0,0,0,0,2,2,2,1,0,1,1,0,0,15,13,12,750
ASV_91,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,9,1,51,102
ASV_92,0,0,0,0,0,0,0,0,0,6,17,16,13,0,0,0,0,0,0,1,211,746
ASV_93,64,65,198,99,114,129,154,61,47,0,0,0,0,43,72,49,81,59,0,0,0,0
ASV_94,0,0,0,0,0,0,0,0,0,4,1,2,1,0,0,0,0,0,101,36,282,209
ASV_95,5,130,9,6,135,62,35,337,477,0,0,0,0,0,1,0,1,0,0,0,0,0
ASV_96,27,46,115,29,36,44,72,56,15,0,0,0,0,69,178,89,253,158,0,0,0,0
ASV_97,30,67,100,69,82,72,85,74,53,0,0,0,0,64,134,82,139,134,0,0,0,0
ASV_98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,140,639
ASV_99,0,0,0,0,0,0,0,0,0,5,2,0,1,0,1,0,0,1,92,63,10,157
ASV_100,52,41,51,67,96,104,561,77,87,0,0,0,0,4,15,12,1,3,0,0,0,0
ASV_101,5,6,0,9,5,18,2,3,0,0,0,0,0,154,246,177,206,339,0,0,0,0
ASV_102,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,380,364,11,140
ASV_103,0,0,0,0,0,0,0,0,0,70,137,107,95,0,0,0,0,0,0,1,90,4
ASV_104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
ASV_105,67,54,65,59,58,50,111,43,38,9,532,18,23,5,3,3,9,2,0,0,0,0
ASV_106,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,499,115,3,10
ASV_107,47,43,64,86,16,35,12,10,7,0,0,0,0,110,225,151,154,178,0,0,0,0
ASV_108,0,0,0,0,0,0,0,0,0,2,8,9,8,0,0,0,0,0,462,78,37,99
ASV_109,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,640,206,1,9
ASV_110,48,71,175,72,180,162,198,75,24,0,0,0,0,11,38,10,28,20,0,0,0,0
ASV_111,0,0,0,0,0,0,0,0,0,139,166,116,115,0,0,0,0,0,7,0,410,3
ASV_112,37,37,152,77,66,87,75,50,37,0,0,0,0,76,106,85,119,87,0,0,0,0
ASV_113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,311,114
ASV_114,0,0,0,0,0,0,0,0,0,0,4,5,3,0,0,0,0,0,3,2,2,396
ASV_115,26,82,97,22,77,71,128,243,117,0,0,0,0,22,53,21,65,58,0,0,0,0
ASV_116,47,65,146,52,85,67,144,90,83,0,1,0,0,32,61,47,83,58,0,0,0,0
ASV_117,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,2,1,991
ASV_118,59,105,251,63,74,90,98,59,64,0,0,0,0,26,41,17,53,39,0,0,0,0
ASV_119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,138,0,340
ASV_120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,686,6
ASV_121,0,0,0,0,0,0,0,0,0,5,12,7,3,1,0,0,0,0,11,214,35,284
ASV_122,72,108,207,40,73,59,68,142,103,0,0,0,0,23,21,13,29,32,0,0,0,0
ASV_123,0,0,0,0,0,0,0,0,0,11,8,6,3,0,0,0,0,0,2,3,639,139
ASV_124,68,90,121,73,58,89,48,97,50,0,0,0,0,29,89,14,57,86,0,0,0,0
ASV_125,35,168,68,20,81,124,62,270,76,0,0,0,0,17,17,6,1,5,0,0,0,1
ASV_126,0,0,0,0,0,0,0,0,0,1,7,2,5,0,0,0,0,0,9,6,25,119
ASV_127,0,0,0,0,0,0,0,0,0,3,8,6,5,0,0,0,0,0,0,0,97,746
ASV_128,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,13,6,315,117
ASV_129,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,82,54,71,137
ASV_130,81,48,198,68,118,151,101,19,4,0,0,0,0,20,26,9,31,34,0,0,0,0
ASV_131,0,0,0,0,0,0,1,0,0,196,204,149,138,0,0,0,0,2,0,0,0,0
ASV_132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198,204,71,54
ASV_133,70,115,102,33,79,82,78,172,88,0,0,0,0,19,18,9,12,12,0,0,0,3
ASV_134,31,34,74,54,70,81,92,79,64,0,0,0,0,43,95,37,96,34,0,0,0,0
ASV_135,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,2,8,169,320
ASV_136,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,52,109,14,241
ASV_137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0
ASV_138,13,66,51,85,22,60,50,57,71,0,0,0,1,36,53,134,62,108,0,0,0,0
ASV_139,23,60,102,18,104,111,145,124,103,0,0,0,0,7,13,14,33,9,0,0,0,0
ASV_140,5,0,1,13,1,9,2,0,0,0,0,0,0,53,205,219,123,232,0,0,0,0
ASV_141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,622,108
ASV_142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,711,145
ASV_143,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,111,151,17,17
ASV_144,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,1,3,303,289
ASV_145,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,49,0,27,24
ASV_146,22,7,20,93,5,14,3,0,0,0,0,0,0,108,93,151,113,222,0,0,0,0
ASV_147,41,104,97,85,79,85,17,77,116,0,0,0,0,15,32,58,14,30,0,0,0,0
ASV_148,25,115,135,28,59,62,51,222,133,0,0,0,0,8,4,2,2,2,0,0,0,0
ASV_149,76,92,240,116,49,132,40,41,21,0,0,0,0,7,4,4,7,14,0,0,0,0
ASV_150,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,8,21,124,131
ASV_151,0,0,0,0,0,0,0,0,0,7,9,7,4,0,0,2,0,0,0,3,3,163
ASV_152,0,0,0,0,1,0,0,0,0,51,40,39,40,0,0,1,0,0,0,0,0,1
ASV_153,0,0,0,0,0,0,0,0,0,30,48,142,165,0,0,0,0,0,14,0,33,17
ASV_154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,674,138
ASV_155,12,146,62,1,67,46,37,216,219,0,1,0,0,8,1,0,0,3,0,0,0,0
ASV_156,20,57,79,36,89,75,129,174,108,0,3,4,2,6,6,4,18,8,0,0,0,0
