,CE1,CE2,CE3,CE4,CE161,CE162,CE163,CE164,CE165,JWM1,JWM2,JWM3,JWM4,NH1,NH2,NH3,NH4,NH5
ASV_323,0,0,0,0,0,0,0,0,0,38,47,45,19,0,0,0,0,0
ASV_324,3,0,4,2,2,3,0,0,3,0,0,0,0,36,21,30,16,28
ASV_325,5,3,59,11,2,1,0,1,0,0,0,0,0,6,21,6,11,21
ASV_326,0,0,1,0,2,1,1,0,1,0,0,0,0,5,33,17,82,3
ASV_327,7,13,17,5,21,13,28,12,12,0,0,0,0,1,3,4,2,7
ASV_328,10,4,24,14,11,13,17,0,0,0,0,0,0,8,18,7,10,9
ASV_329,0,0,0,0,0,0,0,0,0,49,34,35,27,0,0,0,0,0
ASV_330,11,8,32,13,12,29,8,5,1,0,0,0,0,0,4,7,8,6
ASV_331,4,13,23,4,14,18,23,20,13,0,0,0,0,0,7,0,2,3
ASV_332,1,1,1,0,0,1,1,1,17,0,0,0,0,28,21,37,6,28
ASV_333,0,0,0,0,0,0,0,0,0,67,6,41,29,0,0,0,0,0
ASV_334,0,0,0,0,0,0,0,0,0,6,35,69,32,0,0,0,0,0
ASV_335,3,6,6,12,4,1,5,1,6,0,0,0,1,8,24,11,27,26
ASV_336,6,7,16,2,22,29,18,12,17,0,0,0,0,1,3,0,3,5
ASV_337,0,1,3,3,1,1,0,0,0,0,0,0,0,18,20,25,49,20
ASV_338,0,0,0,0,0,0,0,0,0,25,54,34,26,0,0,1,0,1
ASV_339,0,0,0,0,0,0,0,0,0,17,19,85,20,0,0,0,0,0
ASV_340,1,0,0,2,0,0,0,0,1,0,0,0,0,13,30,16,58,19
ASV_341,0,1,0,1,0,0,0,1,0,22,52,39,24,0,0,0,0,0
ASV_342,0,0,0,0,0,0,0,0,0,46,32,30,32,0,0,0,0,0
ASV_343,1,1,0,0,0,1,0,0,4,0,0,0,0,36,29,27,7,33
ASV_344,3,0,4,2,1,1,0,1,1,0,0,0,0,20,21,33,31,20
ASV_345,0,0,0,0,0,1,1,0,0,0,0,0,0,14,37,26,44,15
ASV_346,4,17,19,3,17,26,11,16,20,0,0,0,0,1,1,0,0,2
ASV_347,8,12,16,5,21,15,25,5,5,0,0,0,0,6,6,4,4,5
ASV_348,6,12,7,4,19,17,20,8,7,0,0,0,0,6,9,5,5,11
ASV_349,0,0,0,0,0,0,0,0,0,35,39,29,33,0,0,0,0,0
ASV_350,0,2,0,0,0,1,0,1,0,33,24,31,20,4,5,9,2,3
ASV_351,0,0,0,0,0,0,0,0,0,36,43,34,18,1,1,2,0,0
ASV_352,10,5,21,49,1,15,2,0,3,0,0,0,0,4,6,2,2,14
ASV_353,1,4,6,12,8,5,11,8,5,0,0,0,0,5,13,19,13,24
ASV_354,0,0,0,0,0,0,0,0,0,23,92,7,11,0,0,0,0,0
ASV_355,5,1,6,18,13,13,22,4,1,0,0,0,0,11,10,10,10,8
ASV_356,3,6,3,10,9,10,8,7,4,1,1,0,0,11,9,19,12,19
ASV_357,9,7,31,10,13,14,22,2,6,0,0,0,0,0,8,2,1,7
ASV_358,0,1,0,0,1,0,0,0,0,0,0,0,0,15,30,28,29,28
ASV_359,0,25,7,3,23,11,12,20,28,0,1,1,0,0,0,0,0,1
ASV_360,0,0,0,0,0,0,0,0,0,27,45,35,25,0,0,0,0,0
ASV_361,0,0,0,0,0,0,0,0,0,46,26,35,24,0,1,0,0,0
ASV_362,3,18,32,4,10,13,8,13,30,0,0,0,0,0,0,0,0,0
ASV_363,6,4,7,11,6,12,15,0,0,0,0,0,0,14,14,18,10,14
ASV_364,2,7,6,2,12,9,19,9,20,0,0,0,0,9,8,2,20,5
ASV_365,0,0,0,0,129,0,1,0,0,0,0,0,0,0,0,0,0,0
ASV_366,6,9,22,5,8,7,22,3,3,0,0,0,0,7,26,1,6,4
ASV_367,1,24,0,1,1,4,0,42,56,0,0,0,0,0,0,0,0,0
ASV_368,8,19,23,8,14,19,5,8,2,0,0,0,0,3,6,2,6,6
ASV_369,0,0,0,0,0,0,0,0,0,0,116,6,7,0,0,0,0,0
ASV_370,5,2,9,7,6,10,5,3,1,0,0,0,0,3,13,23,23,18
ASV_371,0,5,3,14,5,7,10,11,6,0,0,0,0,7,12,14,17,17
ASV_372,2,3,13,11,9,22,24,21,9,0,0,0,0,0,0,4,4,5
ASV_373,4,1,11,1,1,1,6,3,1,0,0,0,0,13,12,7,10,56
ASV_374,0,0,0,0,0,0,0,0,0,0,0,0,0,9,20,27,33,38
ASV_375,3,5,19,12,3,1,7,4,0,0,0,0,0,11,21,10,18,12
ASV_376,6,4,8,7,9,13,11,1,0,0,0,0,0,5,18,19,11,14
ASV_377,2,3,16,10,9,15,10,2,1,0,0,0,0,12,17,8,9,12
ASV_378,6,4,11,18,26,24,6,9,5,0,0,0,0,3,4,4,1,4
ASV_379,5,6,11,11,6,5,3,1,1,0,0,0,0,14,11,24,8,18
ASV_380,11,6,7,21,2,12,2,1,0,0,0,0,0,3,8,13,18,20
ASV_381,2,5,5,1,7,8,15,1,9,0,0,0,0,11,10,15,22,13
ASV_382,0,0,0,2,0,0,0,0,0,0,0,0,0,18,34,21,17,32
ASV_383,9,14,21,6,23,23,11,3,3,0,0,0,0,0,4,2,1,3
ASV_384,0,0,0,0,0,0,0,0,0,36,21,56,10,0,0,0,0,0
ASV_385,1,4,7,1,19,9,4,14,60,0,0,0,0,1,0,0,0,0
ASV_386,1,3,0,2,1,2,0,1,0,0,0,0,0,22,18,26,17,27
ASV_387,2,2,10,3,7,11,2,6,2,0,0,0,0,16,17,16,9,17
ASV_388,5,6,7,14,6,10,12,2,0,0,0,0,0,8,8,10,19,13
ASV_389,0,0,0,1,0,1,2,2,1,0,0,1,2,12,20,38,24,16
ASV_390,0,0,1,1,0,0,0,0,0,0,0,0,0,17,33,27,12,29
ASV_391,0,0,0,0,0,0,0,0,0,42,35,18,25,0,0,0,0,0
ASV_392,1,7,9,7,14,15,8,6,2,0,0,0,0,3,21,9,7,10
ASV_393,3,5,10,4,0,1,7,7,1,0,0,0,0,16,23,10,18,14
ASV_394,0,3,0,0,0,1,0,2,0,5,8,24,6,10,17,6,21,16
ASV_395,0,0,0,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0
ASV_396,0,0,0,0,0,0,0,0,0,9,39,43,27,0,0,0,0,0
ASV_397,1,19,4,0,4,3,0,46,39,0,0,0,0,1,0,0,0,0
ASV_398,1,0,0,6,0,2,1,0,0,0,0,0,0,11,28,16,15,37
ASV_399,0,7,0,0,0,1,0,18,89,0,0,0,0,0,2,0,0,0
ASV_400,0,0,0,0,0,0,0,0,0,7,9,95,6,0,0,0,0,0
ASV_401,6,8,13,6,10,13,12,4,4,0,0,1,0,9,5,6,4,15
ASV_402,1,26,10,2,8,16,2,17,28,0,0,0,0,1,1,1,0,3
ASV_403,6,2,11,7,1,5,10,3,5,0,0,0,0,4,25,2,29,5
ASV_404,5,5,14,9,4,5,12,0,1,0,1,1,0,1,19,11,21,6
ASV_405,0,0,0,0,0,0,0,0,0,30,34,31,18,0,0,2,0,0
ASV_406,5,3,12,6,4,4,10,5,1,0,0,0,0,8,16,12,13,15
ASV_407,3,3,1,12,5,4,6,2,0,0,0,0,0,15,13,19,19,12
ASV_408,0,0,0,0,0,0,0,0,0,25,35,22,32,0,0,0,0,0
ASV_409,7,21,15,4,7,14,14,10,6,0,0,0,0,0,1,0,5,9
ASV_410,1,4,8,13,15,13,13,15,24,0,0,0,0,1,2,4,0,0
ASV_411,0,0,0,0,0,0,0,0,0,26,36,25,26,0,0,0,0,0
ASV_412,0,0,0,0,0,0,0,0,0,31,35,22,25,0,0,0,0,0
ASV_413,1,40,5,7,3,5,9,8,26,0,0,0,0,2,0,0,3,3
ASV_414,3,2,1,6,0,2,1,0,2,0,0,0,0,17,19,24,16,19
ASV_415,0,1,2,0,0,1,0,0,0,0,0,1,0,4,28,14,24,37
ASV_416,0,9,6,2,11,7,4,14,21,0,0,0,0,2,4,9,7,16
ASV_417,0,0,2,1,1,4,1,1,0,0,0,0,0,13,14,38,13,24
ASV_418,0,0,0,0,0,0,0,0,0,17,27,35,33,0,0,0,0,0
ASV_419,3,9,7,4,10,7,8,30,19,0,0,0,0,2,4,5,0,3
ASV_420,7,4,1,2,27,22,32,1,5,0,0,0,0,10,0,0,0,0
ASV_421,4,6,7,15,25,18,19,5,1,0,0,0,0,2,2,2,2,3
ASV_422,3,1,11,7,8,11,17,17,10,0,1,2,2,3,3,1,8,5
ASV_423,3,7,9,0,16,8,5,37,25,0,0,0,0,0,0,0,0,0
ASV_424,3,2,10,4,8,15,9,4,4,0,0,0,0,5,16,8,13,9
ASV_425,0,0,0,0,0,0,0,0,1,7,36,24,42,0,0,0,0,0
ASV_426,0,0,0,0,0,0,0,0,0,19,37,26,28,0,0,0,0,0
ASV_427,0,0,0,0,0,0,0,0,0,7,17,13,73,0,0,0,0,0
ASV_428,0,0,0,0,0,0,0,0,0,18,23,55,13,0,0,0,0,0
ASV_429,0,0,0,0,0,0,0,0,0,32,37,13,26,0,0,0,0,0
ASV_430,0,0,0,0,0,0,0,0,0,31,20,30,27,0,0,0,0,0
ASV_431,0,0,0,3,2,4,0,0,0,0,0,0,0,14,17,23,27,17
ASV_432,2,10,9,6,2,6,8,7,1,0,0,0,0,13,2,12,9,18
ASV_433,6,6,15,20,5,9,8,4,11,0,0,0,0,5,0,4,6,6
ASV_434,3,6,9,26,1,2,1,2,10,4,0,0,0,5,6,8,6,16
ASV_435,0,1,3,2,1,0,0,0,0,0,0,0,0,8,21,16,30,23
ASV_436,0,1,0,0,1,0,0,0,0,0,0,0,0,26,28,28,0,21
ASV_437,0,1,4,1,7,7,7,4,5,0,0,0,0,7,19,7,19,17
ASV_438,0,0,0,0,0,0,2,0,3,0,0,0,0,26,35,10,12,17
ASV_439,0,0,0,0,0,0,0,0,0,9,74,14,7,0,0,0,1,0
ASV_440,0,0,0,0,0,0,0,0,0,34,31,21,18,0,0,0,0,1
ASV_441,0,0,0,0,0,0,0,0,0,8,15,55,26,0,1,0,0,0
ASV_442,2,18,9,3,11,5,15,4,8,0,0,0,0,4,6,4,5,9
ASV_443,12,11,9,43,9,13,2,0,2,0,0,0,0,0,2,0,0,0
ASV_444,0,7,11,0,3,5,1,23,53,0,0,0,0,0,0,0,0,0
ASV_445,0,1,0,0,0,0,0,2,0,9,53,13,24,0,0,1,0,0
ASV_446,0,7,13,8,9,7,17,9,5,0,0,0,0,6,5,2,5,10
ASV_447,8,6,1,25,4,12,2,1,0,0,0,0,0,8,8,1,18,8
ASV_448,3,12,3,9,17,11,5,7,5,0,0,0,0,2,5,10,8,5
ASV_449,0,15,8,1,5,8,8,31,25,0,0,0,0,0,0,1,0,0
ASV_450,0,0,0,0,0,0,0,0,0,24,24,27,27,0,0,0,0,0
ASV_451,0,0,0,0,0,0,0,0,0,0,0,101,1,0,0,0,0,0
ASV_452,5,19,6,4,6,3,2,36,20,0,0,0,0,0,0,0,0,0
ASV_453,8,7,9,16,6,12,12,10,3,0,0,0,0,1,7,0,3,7
ASV_454,1,1,5,2,25,5,34,13,15,0,0,0,0,0,0,0,0,0
ASV_455,0,0,0,0,2,0,0,0,0,68,10,9,12,0,0,0,0,0
ASV_456,19,8,11,8,9,20,10,3,0,0,0,0,0,0,2,4,3,3
ASV_457,1,6,11,14,11,17,7,7,14,0,0,0,0,0,4,1,1,6
ASV_458,0,1,0,0,1,0,0,0,0,17,17,40,23,0,0,0,0,1
ASV_459,11,10,11,27,5,10,2,0,4,0,0,0,0,0,4,2,7,6
ASV_460,5,1,5,9,2,0,4,0,2,0,0,0,0,13,12,16,15,15
ASV_461,1,2,7,5,1,5,0,0,3,0,0,0,0,14,11,20,9,21
ASV_462,0,0,0,0,0,0,0,0,0,0,97,0,2,0,0,0,0,0
ASV_463,1,3,3,1,5,12,9,14,9,0,0,0,0,3,11,3,7,17
ASV_464,0,0,0,0,0,0,0,0,0,21,26,22,29,0,0,0,0,0
ASV_465,0,0,0,0,0,0,0,0,0,34,28,21,15,0,0,0,0,0
ASV_466,2,4,6,1,0,4,0,13,22,0,0,0,0,22,9,7,4,3
ASV_467,0,0,0,21,1,5,6,0,0,0,0,0,0,6,30,6,8,14
ASV_468,0,0,0,0,0,0,0,0,0,17,38,19,23,0,0,0,0,0
ASV_469,2,0,28,5,7,8,17,1,0,0,0,0,0,1,4,6,8,9
ASV_470,4,3,4,23,3,2,1,0,0,0,0,0,0,2,13,12,10,19
ASV_471,0,7,1,0,2,2,0,26,19,0,0,0,0,12,15,8,1,3
ASV_472,0,0,0,0,0,0,0,0,0,19,32,19,25,0,0,1,0,0
ASV_473,8,9,10,10,9,16,10,10,5,0,0,0,0,0,1,1,4,2
ASV_474,1,4,14,5,3,9,4,1,3,0,0,0,0,2,12,9,10,18
ASV_475,8,6,9,4,5,13,11,0,1,0,0,0,0,3,6,5,17,7
ASV_476,0,2,0,5,0,1,3,2,0,0,0,0,0,5,21,7,30,19
ASV_477,0,0,0,0,0,0,0,0,0,17,28,30,20,0,0,0,0,0
ASV_478,0,0,0,0,0,0,0,0,0,0,59,13,22,0,1,0,0,0
ASV_479,0,0,0,0,0,0,0,0,0,0,77,10,8,0,0,0,0,0
ASV_480,8,12,8,2,6,7,10,5,7,0,0,0,0,6,5,5,10,3
ASV_481,1,0,2,5,7,4,1,0,0,0,0,1,0,9,20,18,16,10
ASV_482,3,10,9,3,2,2,3,19,19,0,10,7,3,0,0,1,0,3
ASV_483,2,4,3,9,0,1,1,0,1,0,2,0,0,12,23,10,7,19
ASV_484,0,1,1,1,1,1,0,0,0,0,0,0,0,11,23,17,15,23
ASV_485,0,0,0,0,0,1,0,0,1,0,2,78,7,2,1,0,1,1
ASV_486,0,0,0,0,0,1,0,0,0,0,0,0,0,6,24,7,43,13
ASV_487,2,0,2,1,0,0,4,1,0,0,0,0,0,8,19,13,12,31
ASV_488,1,18,13,2,5,4,11,16,21,0,0,0,0,0,1,0,0,0
ASV_489,0,0,3,1,6,2,4,1,0,1,0,0,0,14,23,10,18,9
ASV_490,0,0,0,0,0,0,0,0,0,13,32,23,24,0,0,0,0,0
ASV_491,2,0,5,3,6,0,2,0,0,0,0,0,0,17,18,17,11,10
ASV_492,2,1,0,0,0,1,0,1,2,0,0,0,0,8,19,23,14,20
ASV_493,1,6,16,1,8,3,21,14,7,0,0,0,0,1,1,0,5,7
ASV_494,1,0,3,3,1,0,2,1,0,0,1,0,1,5,15,11,28,19
ASV_495,10,11,19,13,5,4,2,3,0,0,0,0,0,7,5,1,4,7
ASV_496,2,1,4,7,1,3,6,1,0,0,0,0,0,1,13,17,19,16
ASV_497,0,0,0,0,0,0,0,0,0,0,0,0,0,13,29,15,18,16
ASV_498,5,8,11,9,10,11,2,13,4,0,0,0,0,0,4,7,1,5
ASV_499,5,4,6,8,10,12,14,6,3,0,0,0,0,3,1,6,9,3
ASV_500,8,5,24,7,10,12,11,1,5,0,0,0,0,2,1,0,3,1
ASV_501,0,11,1,3,11,7,17,26,12,0,0,0,0,2,0,0,0,0
ASV_502,0,0,0,0,0,0,0,0,0,18,32,13,27,0,0,0,0,0
ASV_503,1,0,0,0,0,1,0,0,0,0,0,0,0,19,16,16,11,25
ASV_504,7,5,3,4,7,7,10,10,17,0,0,0,0,2,4,4,8,1
ASV_505,0,7,0,0,0,0,1,21,35,0,0,0,0,7,11,4,1,2
ASV_506,0,0,0,0,0,0,0,9,62,0,0,0,0,7,5,3,1,2
ASV_507,0,0,0,0,0,0,0,0,0,0,0,0,0,15,22,11,18,23
ASV_508,5,10,17,0,4,2,13,20,15,0,0,0,0,0,0,2,0,0
ASV_509,3,2,1,14,7,4,7,1,0,0,0,0,0,3,13,4,13,15
ASV_510,2,0,2,6,0,1,0,0,1,0,0,0,0,7,11,24,14,19
ASV_511,2,3,1,0,4,1,4,1,2,0,0,0,0,6,16,9,20,18
ASV_512,12,5,16,11,8,10,9,7,8,0,0,0,0,0,0,0,0,1
ASV_513,2,10,17,9,11,9,12,4,8,0,0,0,0,0,3,0,1,1
ASV_514,0,2,2,1,1,2,0,0,2,0,0,0,0,13,23,16,14,11
ASV_515,0,0,6,14,7,8,6,0,0,0,0,0,0,3,9,9,8,17
ASV_516,0,0,0,0,0,0,0,0,0,30,24,19,11,1,1,1,0,0
ASV_517,5,5,10,6,14,20,18,4,4,0,0,0,0,0,0,0,0,0
ASV_518,1,1,2,1,0,1,1,0,0,0,2,0,0,12,17,22,6,20
ASV_519,9,7,10,6,9,4,9,9,1,0,0,0,0,4,1,0,16,1
ASV_520,0,0,0,0,0,0,0,0,0,17,20,20,29,0,0,0,0,0
ASV_521,0,0,0,0,0,0,0,0,0,26,6,17,37,0,0,0,0,0
ASV_522,0,0,0,0,0,0,0,0,0,12,34,19,21,0,0,0,0,0
ASV_523,0,0,0,0,0,0,0,0,0,26,26,14,20,0,0,0,0,0
ASV_524,8,10,13,12,3,7,1,5,5,0,0,0,0,5,4,5,3,4
ASV_525,6,3,6,0,6,11,7,6,8,0,1,0,0,10,4,8,0,9
ASV_526,3,7,6,3,5,10,11,4,4,0,0,0,0,3,11,8,8,2
ASV_527,1,3,0,7,3,6,3,2,2,2,0,0,0,9,11,7,16,13
ASV_528,0,0,0,0,0,0,0,0,0,29,26,20,8,0,1,0,0,1
ASV_529,1,1,3,0,2,2,2,1,3,0,0,1,0,14,9,21,11,13
ASV_530,5,5,15,2,18,19,5,8,7,0,0,0,0,0,0,0,0,0
ASV_531,2,0,1,0,0,0,0,1,1,0,1,0,1,5,16,20,7,29
ASV_532,6,4,20,21,5,11,9,0,0,0,0,0,0,3,1,0,2,2
ASV_533,0,0,0,2,0,0,0,0,0,13,22,20,21,0,2,0,0,4
ASV_534,6,6,16,10,7,15,6,1,2,0,0,0,0,3,6,4,0,1
ASV_535,1,1,1,10,1,4,0,0,0,0,0,0,0,12,14,12,8,19
ASV_536,7,7,11,10,6,12,14,2,0,0,0,0,0,2,2,6,2,2
ASV_537,3,5,13,1,10,10,12,10,18,0,0,0,0,0,0,0,1,0
ASV_538,5,5,13,4,8,2,7,8,12,0,0,0,0,2,4,0,3,10
ASV_539,5,4,8,1,19,8,18,12,6,0,0,0,0,0,0,0,2,0
ASV_540,0,0,2,6,4,6,2,2,0,0,0,0,0,22,9,11,11,8
ASV_541,0,0,0,0,0,0,0,0,0,27,25,15,16,0,0,0,0,0
ASV_542,8,7,6,11,4,6,7,1,1,0,0,0,0,1,9,2,12,7
ASV_543,0,0,2,1,0,0,0,2,0,0,0,0,0,17,24,6,16,14
ASV_544,0,0,0,0,0,0,0,0,0,14,27,26,15,0,0,0,0,0
ASV_545,0,0,0,0,0,0,0,0,0,20,9,22,31,0,0,0,0,0
ASV_546,0,0,0,0,0,0,0,0,0,10,33,27,12,0,0,0,0,0
ASV_547,1,0,0,0,0,0,0,11,56,0,0,0,0,6,1,2,0,4
ASV_548,1,3,11,3,7,6,10,7,6,0,0,0,0,5,6,5,6,5
ASV_549,10,33,15,2,2,3,0,4,10,0,0,0,0,0,2,0,0,0
ASV_550,4,3,2,6,8,13,2,0,4,0,0,0,0,8,14,3,8,6
ASV_551,0,0,0,0,0,0,0,0,0,32,10,10,29,0,0,0,0,0
ASV_552,0,0,0,0,0,0,0,0,0,7,14,37,23,0,0,0,0,0
ASV_553,0,0,0,0,0,0,0,0,0,0,0,1,0,15,10,26,14,15
ASV_554,4,0,12,5,6,9,6,1,0,0,1,0,0,3,7,7,14,5
ASV_555,4,9,8,9,6,5,1,1,3,0,0,0,0,3,5,5,14,7
ASV_556,0,0,1,0,0,3,2,0,1,0,0,0,0,8,18,12,25,10
ASV_557,0,0,2,4,0,0,0,0,0,0,0,0,0,21,14,7,8,24
ASV_558,0,0,0,0,0,0,0,0,0,10,34,13,23,0,0,0,0,0
ASV_559,0,0,0,0,0,0,0,0,0,8,55,13,4,0,0,0,0,0
ASV_560,0,0,0,0,0,0,0,0,0,14,17,38,11,0,0,0,0,0
ASV_561,6,5,5,3,4,7,12,9,10,0,0,0,0,0,4,4,3,7
ASV_562,1,0,1,5,3,0,4,0,0,0,0,0,0,11,15,16,8,15
ASV_563,4,4,4,8,14,11,17,6,6,0,0,0,0,0,3,0,0,2
ASV_564,4,3,0,20,6,10,2,0,0,0,0,0,0,0,5,11,7,11
ASV_565,1,0,0,0,0,0,0,0,0,5,16,33,21,0,0,0,0,3
ASV_566,0,0,0,0,0,0,0,0,0,32,11,20,16,0,0,0,0,0
ASV_567,9,12,17,7,1,11,1,0,1,0,0,0,0,6,4,2,4,3
ASV_568,3,1,2,8,8,7,5,1,0,0,0,0,0,8,10,6,11,8
ASV_569,1,1,0,0,0,0,0,0,0,10,21,13,14,1,5,5,4,3
ASV_570,5,2,2,6,1,5,1,1,1,0,0,0,0,5,5,12,14,18
ASV_571,0,0,4,3,4,2,3,0,0,0,0,0,0,9,23,13,12,5
ASV_572,0,0,0,0,0,0,0,0,0,31,16,14,17,0,0,0,0,0
ASV_573,0,0,0,0,0,0,0,0,0,18,22,17,14,5,0,0,2,0
ASV_574,0,0,0,0,0,0,0,0,0,22,21,31,4,0,0,0,0,0
ASV_575,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,17,16,26
ASV_576,5,12,17,2,9,6,4,18,4,0,0,0,0,0,0,0,0,0
ASV_577,10,8,10,11,7,9,10,2,5,0,0,0,0,0,0,1,1,3
ASV_578,2,4,1,5,10,11,7,0,0,0,0,0,0,5,10,13,7,2
ASV_579,6,0,5,8,1,4,0,0,0,0,0,0,0,5,13,10,12,13
ASV_580,3,8,6,2,6,2,0,6,40,0,0,0,0,1,0,1,0,2
ASV_581,1,9,4,1,2,0,1,19,37,0,0,0,0,1,0,1,0,1
ASV_582,6,5,6,7,7,12,6,3,0,0,1,0,0,3,6,5,5,5
ASV_583,1,4,11,0,11,6,6,4,13,0,0,0,0,0,10,7,3,1
ASV_584,0,3,6,5,9,8,18,2,11,0,0,0,0,1,5,3,5,1
ASV_585,0,5,0,1,0,0,1,24,46,0,0,0,0,0,0,0,0,0
ASV_586,0,2,0,0,0,0,0,0,1,0,0,0,0,2,7,2,50,13
ASV_587,0,0,0,0,0,0,0,0,0,16,24,20,17,0,0,0,0,0
ASV_588,0,0,0,0,0,0,0,0,0,9,9,52,7,0,0,0,0,0
ASV_589,5,6,14,7,5,1,5,0,3,0,0,1,0,4,11,2,8,4
ASV_590,5,16,16,2,6,8,12,1,0,0,0,1,0,0,2,3,3,1
ASV_591,4,10,9,0,13,7,6,20,3,0,0,0,0,1,0,0,1,2
ASV_592,1,2,0,4,4,0,4,0,0,0,0,0,0,10,12,14,14,11
ASV_593,1,18,4,1,14,3,9,18,7,0,0,0,0,0,1,0,0,0
ASV_594,11,6,9,38,2,7,2,0,1,0,0,0,0,0,0,0,0,0
ASV_595,0,0,0,0,0,0,0,0,0,12,13,30,21,0,0,0,0,0
ASV_596,0,0,0,0,0,0,0,0,0,17,25,10,24,0,0,0,0,0
ASV_597,1,4,0,7,7,2,6,1,0,0,0,0,0,2,4,14,11,16
ASV_598,6,3,5,22,4,7,1,0,0,0,0,0,0,2,5,3,10,7
ASV_599,3,2,2,4,3,2,1,0,0,0,0,0,0,9,16,8,12,13
ASV_600,0,4,0,0,2,1,0,18,49,0,0,0,1,0,0,0,0,0
ASV_601,0,0,0,0,0,0,0,1,1,7,19,16,24,2,1,1,0,3
ASV_602,0,0,0,1,0,0,0,0,0,0,0,0,0,34,29,2,2,7
ASV_603,0,0,0,0,0,0,0,0,0,21,20,18,16,0,0,0,0,0
ASV_604,0,0,0,0,0,0,0,0,0,14,24,21,16,0,0,0,0,0
ASV_605,6,13,11,5,9,8,4,12,6,0,0,0,0,0,0,0,0,0
ASV_606,4,0,0,7,2,1,3,0,1,0,0,0,0,9,17,16,8,6
ASV_607,1,5,3,5,6,0,5,0,0,0,0,0,0,4,8,10,14,13
ASV_608,0,2,3,0,1,3,2,1,0,0,0,0,0,3,17,14,16,12
ASV_609,0,1,1,0,0,1,0,1,0,0,0,0,0,34,22,4,2,8
ASV_610,0,0,0,0,0,0,0,0,1,10,29,24,10,0,0,0,0,0
ASV_611,0,0,0,0,0,0,0,0,0,11,19,17,27,0,0,0,0,0
ASV_612,5,0,10,1,2,1,0,0,1,0,0,0,0,4,10,5,16,18
ASV_613,1,1,1,1,0,3,0,0,0,0,2,0,0,6,21,4,15,18
ASV_614,15,2,10,21,3,4,3,0,0,0,1,0,0,3,5,0,2,3
ASV_615,4,18,1,4,9,14,4,4,8,0,0,0,0,1,2,2,0,1
ASV_616,1,2,0,24,1,2,3,1,0,0,0,0,1,3,3,5,11,15
ASV_617,0,3,0,0,1,0,1,0,0,0,0,0,0,5,10,15,17,20
ASV_618,0,0,0,0,2,0,0,0,0,0,0,0,0,7,11,11,26,15
ASV_619,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,12,55,0
ASV_620,0,0,0,0,0,0,0,0,0,21,19,7,25,0,0,0,0,0
ASV_621,1,1,2,0,0,4,1,0,0,0,0,0,0,9,11,24,11,7
ASV_622,3,4,1,13,7,8,5,6,2,0,0,0,0,4,1,5,4,8
ASV_623,2,9,12,6,9,9,9,7,8,0,0,0,0,0,0,0,0,0
ASV_624,1,8,3,3,6,4,6,8,10,0,0,0,0,3,3,3,7,6
ASV_625,0,0,1,0,0,0,0,0,0,2,4,0,0,6,15,18,11,14
ASV_626,0,0,0,0,0,0,0,0,0,13,24,18,16,0,0,0,0,0
ASV_627,0,0,0,0,0,0,0,0,0,19,13,19,19,0,0,1,0,0
ASV_628,3,4,8,3,2,8,16,9,6,0,0,0,0,2,3,0,6,0
ASV_629,1,0,6,3,10,6,2,0,0,0,0,0,0,4,6,8,8,16
ASV_630,5,9,9,3,3,5,5,7,1,0,0,0,0,2,4,4,4,9
ASV_631,1,8,11,25,5,2,5,5,2,0,0,0,0,0,1,1,1,3
ASV_632,3,7,2,5,2,1,0,16,24,0,0,0,0,0,3,0,3,4
ASV_633,5,0,3,22,1,13,7,0,0,0,0,0,0,1,8,2,3,5
ASV_634,1,4,1,5,3,2,1,0,1,0,0,0,0,5,8,8,16,15
ASV_635,0,62,0,0,4,1,0,3,0,0,0,0,0,0,0,0,0,0
ASV_636,0,1,0,0,0,0,0,0,0,0,58,7,4,0,0,0,0,0
ASV_637,0,3,5,6,3,7,8,2,0,0,0,0,0,4,9,8,6,9
ASV_638,0,0,0,0,3,1,1,1,0,2,15,13,32,1,0,1,0,0
ASV_639,0,0,0,0,0,0,0,0,0,13,22,23,12,0,0,0,0,0
ASV_640,0,0,0,0,0,0,0,0,0,10,27,12,21,0,0,0,0,0
ASV_641,0,12,0,0,2,0,0,18,37,0,0,0,0,0,0,0,0,0
ASV_642,0,0,0,0,5,14,22,12,16,0,0,0,0,0,0,0,0,0
ASV_643,0,0,0,0,0,1,1,0,0,0,0,0,4,14,10,17,11,11
ASV_644,0,0,0,0,0,0,0,0,0,9,25,18,17,0,0,0,0,0
ASV_645,0,0,0,0,0,0,0,0,0,3,27,30,8,0,0,1,0,0
ASV_646,0,0,0,0,0,0,0,0,0,3,27,18,21,0,0,0,0,0
ASV_647,3,2,4,1,1,2,1,1,2,10,20,10,11,0,0,0,0,0
ASV_648,10,0,4,27,0,4,0,0,0,0,0,1,0,2,1,2,16,1
ASV_649,0,1,4,6,2,2,1,0,0,0,0,0,0,10,13,4,15,10
ASV_650,0,0,1,1,0,0,2,0,1,9,19,15,8,2,3,0,1,6
ASV_651,0,0,0,0,0,0,0,0,0,13,21,16,18,0,0,0,0,0
ASV_652,0,0,0,0,0,0,0,0,0,17,24,11,16,0,0,0,0,0
ASV_653,0,0,0,0,0,0,0,0,0,9,9,34,16,0,0,0,0,0
