,CE1,CE2,CE3,CE4,CE161,CE162,CE163,CE164,CE165,JWM1,JWM2,JWM3,JWM4,NH1,NH2,NH3,NH4,NH5
ASV_75,30,24,116,33,61,134,102,6,4,0,0,0,0,15,17,23,18,23
ASV_76,30,132,92,10,77,38,38,91,79,0,0,0,0,9,1,3,1,1
ASV_77,11,1,17,19,6,22,9,0,0,0,0,0,0,65,98,112,90,151
ASV_78,7,53,16,35,54,22,38,31,38,0,0,0,0,29,73,42,87,67
ASV_79,27,23,37,54,64,54,98,9,1,0,0,0,0,30,40,51,54,47
ASV_80,2,1,2,7,1,3,7,0,0,1,0,0,0,105,119,118,79,140
ASV_81,4,41,9,3,13,8,3,120,204,0,0,0,0,28,38,41,23,47
ASV_82,2,2,2,0,1,1,3,4,0,1,0,0,1,89,118,128,103,125
ASV_83,13,61,46,16,37,42,52,38,38,0,0,0,0,30,38,40,72,55
ASV_84,7,13,22,12,82,49,115,115,127,0,0,0,0,4,3,2,5,8
ASV_85,13,15,15,18,7,11,5,1,4,0,0,0,0,43,87,81,121,140
ASV_86,44,41,78,53,67,56,79,71,34,0,0,0,0,1,9,4,18,1
ASV_87,2,4,18,19,7,18,15,13,5,0,0,0,0,16,85,118,121,103
ASV_88,6,51,31,2,17,19,13,59,264,0,0,0,0,33,34,8,2,5
ASV_89,0,0,0,0,0,0,0,1,0,133,92,184,133,0,1,0,0,0
ASV_90,22,19,52,36,28,55,55,5,3,0,0,0,0,45,75,45,47,53
ASV_91,0,0,0,0,0,0,0,0,0,139,167,118,116,0,0,0,0,0
ASV_92,14,14,16,32,24,37,42,4,3,0,0,0,0,34,67,54,108,90
ASV_93,0,0,0,0,0,2,0,0,0,418,22,14,77,0,0,0,1,0
ASV_94,0,0,1,1,0,1,0,1,3,0,0,1,0,17,93,196,18,189
ASV_95,10,45,37,27,40,49,42,147,69,0,0,0,0,7,25,8,2,10
ASV_96,25,28,119,60,84,72,51,16,2,0,0,0,0,12,20,6,11,7
ASV_97,28,130,52,24,84,61,52,46,32,0,0,0,0,0,1,0,1,0
ASV_98,38,57,106,19,51,77,45,46,58,0,0,0,0,1,1,3,1,3
ASV_99,0,0,0,0,0,0,0,0,0,44,251,89,120,0,0,0,0,0
ASV_100,0,0,0,0,1,0,0,1,0,0,1,1,1,41,102,134,59,160
ASV_101,27,22,139,58,65,70,70,17,13,0,0,0,0,0,0,0,2,5
ASV_102,0,0,0,0,0,0,0,1,0,94,128,157,103,0,0,0,0,0
ASV_103,5,7,7,11,8,9,7,11,7,0,0,0,0,40,77,89,103,100
ASV_104,23,8,2,31,8,24,11,0,0,0,0,0,1,62,87,57,66,99
ASV_105,2,24,2,1,5,2,12,118,294,0,0,0,0,4,4,2,2,1
ASV_106,29,9,16,12,26,27,70,17,27,0,0,0,0,51,72,26,56,31
ASV_107,0,0,0,0,0,0,0,0,0,130,124,89,125,0,0,0,0,0
ASV_108,10,27,28,18,11,17,17,12,5,0,0,0,0,27,71,25,147,50
ASV_109,15,46,35,23,59,50,48,41,29,0,0,0,0,15,34,20,14,35
ASV_110,31,26,37,66,35,101,75,1,1,0,1,0,0,8,18,20,18,22
ASV_111,8,16,50,13,56,42,75,40,35,0,0,0,0,12,31,10,39,33
ASV_112,5,59,30,87,66,38,85,36,34,0,0,0,0,1,4,1,3,2
ASV_113,19,47,30,24,38,30,51,55,48,0,1,0,2,4,16,13,30,14
ASV_114,0,0,0,0,0,0,0,0,0,0,0,1,0,66,74,71,121,84
ASV_115,8,16,27,19,37,34,46,16,20,0,0,0,0,22,57,22,62,27
ASV_116,0,0,0,0,0,0,0,0,0,68,140,109,96,0,0,0,0,0
ASV_117,38,37,115,30,25,56,31,35,15,0,0,0,0,1,10,1,4,12
ASV_118,59,33,41,71,53,110,16,8,9,0,0,0,0,2,2,0,3,2
ASV_119,6,0,4,23,11,19,22,0,1,0,0,0,0,65,69,67,71,50
ASV_120,5,34,50,21,40,47,74,57,52,0,0,0,0,3,4,3,0,18
