,Kingdom,Phylum,Class,Order,Family,Genus,,,,,
ASV_2270,Bacteria,Acidobacteriota,Aminicenantia,Aminicenantales,NA,NA,,,,,
ASV_3280,Bacteria,Acidobacteriota,Aminicenantia,Aminicenantales,NA,NA,,,,,
ASV_2994,Bacteria,Planctomycetota,Phycisphaerae,Amsterdam-1B-07,NA,NA,,,,,
ASV_1007,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,,,,,
ASV_1079,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,,,,,
ASV_1458,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,,,,,
ASV_1816,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,UTCFX1,,,,,
ASV_1913,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,,,,,
ASV_1985,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,,,,,
ASV_2003,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,,,,,
ASV_2070,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,,,,,
ASV_2297,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,,,,,
ASV_2505,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,,,,,
ASV_3045,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,,,,,
ASV_3270,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,,,,,
ASV_506,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,,,,,
ASV_656,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,,,,,
ASV_746,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,,,,,
ASV_747,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,,,,,
ASV_868,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,,,,,
ASV_985,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA,,,,,
ASV_1622,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,Ardenticatenaceae,NA,,,,,
ASV_1936,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,NA,NA,,,,,
ASV_2082,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,Ardenticatenaceae,NA,,,,,
ASV_2109,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,NA,NA,,,,,
ASV_2149,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,NA,NA,,,,,
ASV_2195,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,NA,NA,,,,,
ASV_2445,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,NA,NA,,,,,
ASV_2806,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,Ardenticatenaceae,NA,,,,,
ASV_3132,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,Ardenticatenaceae,NA,,,,,
ASV_1310,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicella,,,,,
ASV_701,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,NA,,,,,
ASV_740,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicella,,,,,
ASV_782,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,Arenicella,,,,,
ASV_972,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,NA,,,,,
ASV_2368,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,NA,NA,,,,,
ASV_2377,Bacteria,Armatimonadota,Armatimonadia,Armatimonadales,Armatimonadaceae,Armatimonas,,,,,
ASV_1159,Bacteria,Proteobacteria,Gammaproteobacteria,AT-s2-59,NA,NA,,,,,
ASV_2146,Bacteria,Proteobacteria,Gammaproteobacteria,AT-s2-59,NA,NA,,,,,
ASV_2179,Bacteria,Proteobacteria,Gammaproteobacteria,AT-s2-59,NA,NA,,,,,
ASV_579,Bacteria,Proteobacteria,Gammaproteobacteria,AT-s2-59,NA,NA,,,,,
ASV_658,Bacteria,Proteobacteria,Gammaproteobacteria,AT-s2-59,NA,NA,,,,,
ASV_818,Bacteria,Proteobacteria,Gammaproteobacteria,AT-s2-59,NA,NA,,,,,
ASV_883,Bacteria,Proteobacteria,Gammaproteobacteria,AT-s2-59,NA,NA,,,,,
ASV_1041,Bacteria,Proteobacteria,Gammaproteobacteria,B2M28,NA,NA,,,,,
ASV_1090,Bacteria,Proteobacteria,Gammaproteobacteria,B2M28,NA,NA,,,,,
ASV_17,Bacteria,Proteobacteria,Gammaproteobacteria,B2M28,NA,NA,,,,,
ASV_1811,Bacteria,Proteobacteria,Gammaproteobacteria,B2M28,NA,NA,,,,,
ASV_387,Bacteria,Proteobacteria,Gammaproteobacteria,B2M28,NA,NA,,,,,
ASV_1165,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,NA,,,,,
ASV_1317,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,NA,,,,,
ASV_1360,Bacteria,Dependentiae,Babeliae,Babeliales,UBA12409,NA,,,,,
ASV_1541,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,NA,,,,,
ASV_1593,Bacteria,Dependentiae,Babeliae,Babeliales,NA,NA,,,,,
ASV_1691,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,NA,,,,,
ASV_1694,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,NA,,,,,
ASV_1743,Bacteria,Dependentiae,Babeliae,Babeliales,NA,NA,,,,,
ASV_1803,Bacteria,Dependentiae,Babeliae,Babeliales,UBA12411,NA,,,,,
ASV_1858,Bacteria,Dependentiae,Babeliae,Babeliales,UBA12411,NA,,,,,
ASV_1930,Bacteria,Dependentiae,Babeliae,Babeliales,UBA12411,NA,,,,,
ASV_1938,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,NA,,,,,
ASV_2113,Bacteria,Dependentiae,Babeliae,Babeliales,UBA12409,NA,,,,,
ASV_2209,Bacteria,Dependentiae,Babeliae,Babeliales,NA,NA,,,,,
ASV_2214,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,NA,,,,,
ASV_2287,Bacteria,Dependentiae,Babeliae,Babeliales,NA,NA,,,,,
