,Kingdom,Phylum,Class,Order,Family,Genus,,,,,
ASV_1469,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_1491,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma,,,,,
ASV_1494,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Belliella,,,,,
ASV_1531,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Chryseolinea,,,,,
ASV_1546,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,NA,,,,,
ASV_1569,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,,,,,
ASV_1570,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma,,,,,
ASV_1594,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_1654,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Fibrella,,,,,
ASV_1658,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Pontibacter,,,,,
ASV_1665,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,,,,,
ASV_1699,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA,,,,,
ASV_1760,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,,,,,
ASV_1772,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_1817,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Rhodocytophaga,,,,,
ASV_1826,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Rudanella,,,,,
ASV_1848,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_1862,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,Bernardetia,,,,,
ASV_1867,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,NA,,,,,
ASV_1873,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,,,,,
ASV_1878,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,,,,,
ASV_1912,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Bernardetiaceae,Bernardetia,,,,,
ASV_1914,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,,,,,
ASV_1922,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma,,,,,
ASV_1970,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA,,,,,
ASV_1977,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,,,,,
ASV_1981,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma,,,,,
ASV_1982,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA,,,,,
ASV_1996,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_202,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_2037,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA,,,,,
ASV_2042,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma,,,,,
ASV_2046,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma,,,,,
ASV_2084,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Cytophaga,,,,,
ASV_2087,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Cytophaga,,,,,
ASV_2091,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,,,,,
ASV_2097,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Indibacter,,,,,
ASV_2153,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Persicitalea,,,,,
ASV_2160,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA,,,,,
ASV_2161,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Cytophaga,,,,,
ASV_2164,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Rudanella,,,,,
ASV_2165,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,MWH-CFBk5,NA,,,,,
ASV_2190,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Reichenbachiella,,,,,
ASV_2221,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,NA,,,,,
ASV_2227,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,,,,,
ASV_2233,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Adhaeribacter,,,,,
ASV_2237,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_2239,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Rudanella,,,,,
ASV_2254,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,Candidatus_Amoebophilus,,,,,
ASV_2304,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,MWH-CFBk5,NA,,,,,
ASV_2314,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Ohtaekwangia,,,,,
ASV_2387,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Fulvivirga,,,,,
ASV_2395,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,Candidatus_Amoebophilus,,,,,
ASV_248,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Ohtaekwangia,,,,,
ASV_2508,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,NA,,,,,
ASV_251,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_2519,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA,,,,,
ASV_2529,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,,,,,
ASV_2539,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Rudanella,,,,,
ASV_2560,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_259,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Arcicella,,,,,
ASV_2596,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_2601,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,,,,,
ASV_2715,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Fibrella,,,,,
ASV_272,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA,,,,,
ASV_2779,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Marivirga,,,,,
ASV_2785,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Taeseokella,,,,,
ASV_2798,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Fabibacter,,,,,
ASV_2816,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,NA,,,,,
ASV_282,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Algoriphagus,,,,,
ASV_2830,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_2837,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,,,,,
ASV_2887,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Microscilla,,,,,
ASV_2936,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Cesiribacter,,,,,
ASV_2973,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,Candidatus_Amoebophilus,,,,,
ASV_3042,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_3089,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,,,,,
ASV_3090,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,,,,,
ASV_3164,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,NA,,,,,
ASV_320,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Ohtaekwangia,,,,,
ASV_3255,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,,,,,
ASV_3264,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,,,,,
ASV_3314,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Taeseokella,,,,,
ASV_354,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma,,,,,
ASV_38,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_426,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma,,,,,
ASV_43,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_430,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,,,,,
ASV_443,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_452,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_462,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,,,,,
ASV_467,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_532,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_545,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Cytophaga,,,,,
ASV_566,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,,,,,
ASV_589,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_602,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_614,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_633,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_662,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Spirosoma,,,,,
ASV_664,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_678,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,,,,,
ASV_7,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_74,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_759,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,,,,,
ASV_761,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Pontibacter,,,,,
ASV_775,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Arcicella,,,,,
ASV_851,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,NA,,,,,
ASV_855,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Hymenobacteraceae,Hymenobacter,,,,,
ASV_885,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,NA,NA,,,,,
ASV_954,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Rudanella,,,,,
ASV_955,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,MWH-CFBk5,NA,,,,,
ASV_969,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Amoebophilaceae,NA,,,,,
ASV_174,Bacteria,Proteobacteria,Gammaproteobacteria,D90,NA,NA,,,,,
ASV_1632,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,NA,NA,,,,,
ASV_217,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,NA,NA,,,,,
ASV_2471,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,NA,NA,,,,,
ASV_2600,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,NA,NA,,,,,
ASV_92,Bacteria,Dadabacteria,Dadabacteriia,Dadabacteriales,NA,NA,,,,,
ASV_2775,Bacteria,Deferrisomatota,Defferrisomatia,Defferrisomatales,Defferrisomataceae,Deferrisoma,,,,,
ASV_1608,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,NA,NA,,,,,
ASV_2347,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,NA,NA,,,,,
ASV_2453,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,NA,NA,,,,,
ASV_2570,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,NA,NA,,,,,
ASV_2879,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,Defluviicoccus,,,,,
ASV_796,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,Defluviicoccus,,,,,
ASV_1350,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,,,,,
ASV_1490,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera,,,,,
ASV_1972,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera,,,,,
ASV_2034,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,,,,,
ASV_2038,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera,,,,,
ASV_2224,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera,,,,,
ASV_2438,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera,,,,,
ASV_2622,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,,,,,
ASV_2720,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,NA,,,,,
ASV_2722,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera,,,,,
ASV_2919,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,,,,,
ASV_544,Bacteria,Deinococcota,Deinococci,Deinococcales,Trueperaceae,Truepera,,,,,
ASV_743,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,NA,,,,,
ASV_1304,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglandales,Desulfatiglandaceae,Desulfatiglans,,,,,
ASV_1697,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglandales,Desulfatiglandaceae,Desulfatiglans,,,,,
ASV_1808,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglandales,Desulfatiglandaceae,Desulfatiglans,,,,,
ASV_1868,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglandales,Desulfatiglandaceae,Desulfatiglans,,,,,
ASV_2658,Bacteria,Desulfobacterota,Desulfobacteria,Desulfatiglandales,Desulfatiglandaceae,Desulfatiglans,,,,,
ASV_2639,Bacteria,Firmicutes,Desulfitobacteriia,Desulfitobacteriales,Desulfitobacteriaceae,Desulfosporosinus,,,,,
ASV_1255,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,SEEP-SRB1,,,,,
ASV_1508,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,NA,NA,,,,,
ASV_1520,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,NA,,,,,
ASV_161,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Sva0081_sediment_group,,,,,
ASV_1646,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Sva0081_sediment_group,,,,,
ASV_2180,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfolunaceae,Desulfofrigus,,,,,
ASV_24,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Desulfosarcina,,,,,
ASV_270,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,LCP-80,,,,,
ASV_286,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Sva0081_sediment_group,,,,,
ASV_332,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Sva0081_sediment_group,,,,,
ASV_367,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,NA,,,,,
ASV_397,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,SEEP-SRB1,,,,,
ASV_549,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,NA,,,,,
ASV_585,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,NA,,,,,
ASV_670,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,LCP-80,,,,,
ASV_687,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,NA,,,,,
ASV_690,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,NA,,,,,
ASV_741,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfobacteraceae,Desulfoconvexum,,,,,
ASV_800,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Desulfosarcina,,,,,
ASV_81,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Sva0081_sediment_group,,,,,
ASV_921,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfosarcinaceae,Sva0081_sediment_group,,,,,
ASV_130,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,NA,,,,,
ASV_1437,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Desulfobulbus,,,,,
ASV_1624,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,NA,,,,,
ASV_1853,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Candidatus_Electrothrix,,,,,
ASV_1887,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,NA,,,,,
ASV_2353,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,NA,,,,,
ASV_269,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,Desulfopila,,,,,
ASV_2899,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,NA,,,,,
ASV_436,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,NA,,,,,
ASV_466,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,SEEP-SRB4,,,,,
ASV_471,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,Candidatus_Electrothrix,,,,,
ASV_5,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,NA,,,,,
ASV_525,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,Desulfopila,,,,,
ASV_538,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,NA,,,,,
ASV_581,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,SEEP-SRB4,,,,,
ASV_609,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,NA,,,,,
ASV_62,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,SEEP-SRB4,,,,,
ASV_689,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfobulbaceae,NA,,,,,
ASV_76,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,NA,,,,,
ASV_86,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,Desulforhopalus,,,,,
ASV_948,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,NA,,,,,
ASV_970,Bacteria,Desulfobacterota,Desulfobulbia,Desulfobulbales,Desulfocapsaceae,SEEP-SRB4,,,,,
ASV_1708,Bacteria,Desulfobacterota,Desulfuromonadia,Desulfuromonadia_or,Syntrophotaleaceae,Syntrophotalea,,,,,
ASV_280,Bacteria,Desulfobacterota,Desulfuromonadia,Desulfuromonadia_or,Geopsychrobacteraceae,Geopsychrobacter,,,,,
ASV_769,Bacteria,Desulfobacterota,Desulfuromonadia,Desulfuromonadia_or,Geopsychrobacteraceae,Desulfuromusa,,,,,
ASV_1728,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,,,,,
ASV_2068,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,,,,,
ASV_2261,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,NA,,,,,
ASV_2466,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,,,,,
ASV_2674,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,,,,,
ASV_2799,Bacteria,Proteobacteria,Gammaproteobacteria,Diplorickettsiales,Diplorickettsiaceae,Aquicella,,,,,
ASV_1209,Bacteria,Proteobacteria,Gammaproteobacteria,EC3,NA,NA,,,,,
ASV_1430,Bacteria,Proteobacteria,Gammaproteobacteria,EC3,NA,NA,,,,,
ASV_1432,Bacteria,Proteobacteria,Gammaproteobacteria,EC3,NA,NA,,,,,
ASV_1434,Bacteria,Proteobacteria,Gammaproteobacteria,EC3,NA,NA,,,,,
ASV_1687,Bacteria,Proteobacteria,Gammaproteobacteria,EC3,NA,NA,,,,,
ASV_2121,Bacteria,Proteobacteria,Gammaproteobacteria,EC3,NA,NA,,,,,
ASV_2208,Bacteria,Proteobacteria,Gammaproteobacteria,EC3,NA,NA,,,,,
ASV_2414,Bacteria,Proteobacteria,Gammaproteobacteria,EC3,NA,NA,,,,,
ASV_2490,Bacteria,Proteobacteria,Gammaproteobacteria,EC3,NA,NA,,,,,
ASV_813,Bacteria,Proteobacteria,Gammaproteobacteria,EC3,NA,NA,,,,,
ASV_2026,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,Thiogranum,,,,,
ASV_461,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,Thiogranum,,,,,
ASV_2549,Bacteria,Entotheonellaeota,Entotheonellia,Entotheonellales,Entotheonellaceae,Candidatus_Entotheonella,,,,,
ASV_1229,Bacteria,Proteobacteria,Gammaproteobacteria,EPR3968-O8a-Bc78,NA,NA,,,,,
ASV_2642,Bacteria,Firmicutes,Bacilli,Erysipelotrichales,Erysipelatoclostridiaceae,Erysipelatoclostridium,,,,,
ASV_2234,Bacteria,Actinobacteriota,Actinobacteria,Euzebyales,Euzebyaceae,NA,,,,,
ASV_2441,Bacteria,Actinobacteriota,Actinobacteria,Euzebyales,Euzebyaceae,NA,,,,,
ASV_704,Bacteria,Actinobacteriota,Actinobacteria,Euzebyales,Euzebyaceae,NA,,,,,
ASV_952,Bacteria,Actinobacteriota,Actinobacteria,Euzebyales,Euzebyaceae,NA,,,,,
ASV_2792,Bacteria,Proteobacteria,Gammaproteobacteria,EV818SWSAP88,NA,NA,,,,,
ASV_3101,Bacteria,Proteobacteria,Gammaproteobacteria,EV818SWSAP88,NA,NA,,,,,
ASV_924,Bacteria,Proteobacteria,Gammaproteobacteria,EV818SWSAP88,NA,NA,,,,,
ASV_3174,Bacteria,Proteobacteria,Gammaproteobacteria,F9P41300-M23,NA,NA,,,,,
ASV_1827,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,possible_genus_04,,,,,
ASV_2376,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,possible_genus_04,,,,,
ASV_3199,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,NA,,,,,
ASV_3201,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,NA,NA,,,,,
ASV_2428,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,NA,,,,,
ASV_2731,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,NA,,,,,
ASV_2954,Bacteria,Armatimonadota,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,NA,,,,,
ASV_100,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Spongiimicrobium,,,,,
ASV_1004,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,,,,
ASV_1038,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquibacter,,,,,
ASV_1063,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,Crocinitomix,,,,,
ASV_1074,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,,,,
ASV_1078,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Vicingus,,,,,
ASV_1088,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Maribacter,,,,,
ASV_1105,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Lutibacter,,,,,
ASV_1107,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Vicingus,,,,,
ASV_113,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Pricia,,,,,
ASV_1158,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Maribacter,,,,,
ASV_117,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Cryomorphaceae,Cryomorpha,,,,,
ASV_1171,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,,,,
ASV_1177,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,,,,
ASV_12,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Ulvibacter,,,,,
ASV_1206,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Aquibacter,,,,,
